percentile,age_group,gender,resting_heart_rate_bpm,resting_heart_rate_covariance_value,azm_in_fat_burn_minute_cnt,azm_in_cardio_minute_cnt,azm_in_peak_minute_cnt,azm_total_multiplied_azm_cnt,step_cnt,sleep_rem_minute_cnt,sleep_deep_minute_cnt,sleep_all_awake_cnt,sleep_light_minute_cnt,sleep_all_asleep_minute_cnt,stress_management_score
49,18-24,female,69,8.0,14,0,0,16,6301.0,92,80,0,249,0,75
50,18-24,female,69,8.0,15,0,0,17,6427.0,93,81,0,250,0,75
51,18-24,female,69,8.0,15,0,0,18,6552.0,94,81,0,252,0,75
52,18-24,female,69,9.0,16,0,0,18,6677.0,95,82,0,253,0,75
53,18-24,female,70,9.0,17,0,0,19,6802.0,96,83,0,255,0,75
54,18-24,female,70,9.0,17,0,0,20,6930.0,97,83,0,256,0,76
55,18-24,female,70,9.0,18,0,0,21,7060.0,97,84,0,258,0,76
56,18-24,female,70,10.0,18,0,0,22,7190.0,98,85,0,259,0,76
57,18-24,female,71,10.0,19,0,0,22,7320.0,99,85,0,261,0,76
58,18-24,female,71,10.0,20,0,0,23,7450.0,100,86,0,263,0,76
59,18-24,female,71,10.0,21,0,0,24,7583.0,101,87,0,264,0,77
60,18-24,female,71,11.0,21,0,0,25,7719.0,102,87,0,266,0,77
61,18-24,female,71,11.0,22,0,0,26,7858.0,103,88,0,267,0,77
62,18-24,female,72,11.0,23,0,0,27,7997.0,104,89,0,269,0,77
63,18-24,female,72,11.0,24,0,0,28,8138.0,104,89,0,271,0,77
64,18-24,female,72,11.0,24,0,0,29,8281.0,105,90,0,272,0,77
65,18-24,female,72,12.0,25,1,0,31,8429.0,106,91,0,274,0,78
66,18-24,female,73,12.0,26,1,0,32,8576.0,107,91,0,275,0,78
67,18-24,female,73,13.0,27,1,0,33,8729.0,108,92,0,277,0,78
68,18-24,female,73,13.0,28,1,0,34,8884.0,109,93,0,279,0,78
69,18-24,female,73,14.0,29,1,0,36,9042.0,110,93,0,281,0,78
70,18-24,female,74,14.0,30,1,0,37,9204.0,111,94,0,283,0,79
71,18-24,female,74,15.0,31,1,0,39,9371.0,112,95,0,284,0,79
72,18-24,female,74,15.0,32,1,0,40,9546.0,113,96,0,286,0,79
73,18-24,female,74,16.0,33,2,0,42,9725.0,114,96,0,288,0,79
74,18-24,female,75,17.0,34,2,0,44,9910.0,115,97,0,290,0,79
75,18-24,female,75,17.0,36,2,0,46,10058.0,116,98,0,292,0,80
76,18-24,female,75,18.0,37,2,0,47,10224.0,117,99,0,294,0,80
77,18-24,female,75,19.0,38,3,0,49,10409.0,118,100,0,296,0,80
78,18-24,female,76,20.0,40,3,0,52,10599.0,119,101,0,299,0,80
79,18-24,female,76,20.0,41,3,0,54,10794.0,120,102,0,301,0,80
80,18-24,female,76,21.0,43,4,0,56,11005.0,122,102,0,303,0,81
81,18-24,female,77,22.0,45,4,0,59,11219.0,123,103,0,306,0,81
82,18-24,female,77,22.0,46,4,0,61,11444.0,124,104,0,308,43,81
83,18-24,female,77,22.0,48,5,0,64,11682.0,125,105,0,311,60,81
84,18-24,female,78,22.0,50,5,0,67,11932.0,127,106,0,314,67,82
85,18-24,female,78,22.0,53,6,0,70,12193.0,128,107,0,316,74,82
86,18-24,female,78,22.0,55,7,0,74,12472.0,130,109,0,319,82,82
87,18-24,female,79,22.0,57,7,0,78,12764.0,131,110,0,323,92,83
88,18-24,female,79,23.0,60,8,0,82,13076.0,133,111,0,326,102,83
89,18-24,female,80,23.0,63,9,0,86,13412.0,135,112,0,330,115,83
90,18-24,female,80,23.0,67,10,0,91,13780.0,137,114,1,334,129,84
91,18-24,female,81,23.0,70,12,0,96,14183.0,139,115,1,338,146,84
92,18-24,female,81,24.0,75,13,0,102,14626.0,141,117,1,343,169,84
93,18-24,female,82,24.0,80,15,0,109,15116.0,143,119,1,348,238,85
94,18-24,female,82,24.0,85,17,0,118,15663.0,146,120,1,354,317,85
95,18-24,female,83,25.0,92,19,0,127,16299.0,149,123,1,361,379,86
96,18-24,female,84,26.0,100,22,1,139,17069.0,153,125,2,369,418,86
97,18-24,female,85,27.0,110,26,2,154,18010.0,157,128,2,379,447,87
98,18-24,female,87,28.0,124,31,3,175,19267.0,163,132,2,393,473,88
99,18-24,female,89,31.0,143,38,8,207,21063.0,172,137,3,413,499,90
100,18-24,female,92,36.0,175,51,26,265,24468.0,189,144,4,456,528,96
1,18-24,male,48,7.0,1,0,0,1,13.0,13,18,0,107,0,59
2,18-24,male,50,7.0,1,0,0,1,36.0,20,25,0,120,0,61
3,18-24,male,51,7.0,1,0,0,1,77.0,24,29,0,130,0,62
4,18-24,male,52,7.0,1,0,0,1,149.0,28,32,0,137,0,63
5,18-24,male,53,7.0,1,0,0,1,250.0,31,35,0,143,0,64
6,18-24,male,54,7.0,1,0,0,1,387.0,34,38,0,148,0,64
7,18-24,male,54,7.0,1,0,0,1,547.0,36,40,0,153,0,65
8,18-24,male,54,7.0,1,0,0,2,718.0,38,41,0,157,0,65
9,18-24,male,55,7.0,2,0,0,2,895.0,40,43,0,161,0,66
10,18-24,male,55,7.0,2,0,0,2,1070.0,42,45,0,164,0,66
11,18-24,male,56,7.0,2,0,0,2,1245.0,44,46,0,167,0,66
12,18-24,male,56,7.0,2,0,0,2,1416.0,45,48,0,170,0,67
13,18-24,male,56,7.0,2,0,0,2,1582.0,47,49,0,173,0,67
14,18-24,male,57,7.0,2,0,0,3,1747.0,48,50,0,176,0,67
15,18-24,male,57,7.0,3,0,0,3,1909.0,50,51,0,178,0,68
16,18-24,male,57,7.0,3,0,0,3,2069.64,51,52,0,181,0,68
17,18-24,male,58,7.0,3,0,0,3,2225.0,53,53,0,183,0,68
18,18-24,male,58,7.0,3,0,0,3,2380.0,54,54,0,185,0,69
19,18-24,male,58,7.0,3,0,0,4,2532.0,55,55,0,187,0,69
20,18-24,male,58,7.0,4,0,0,4,2682.0,56,56,0,189,0,69
21,18-24,male,59,7.0,4,0,0,4,2834.0,57,57,0,192,0,69
22,18-24,male,59,7.0,4,0,0,4,2987.0,59,58,0,194,0,70
23,18-24,male,59,7.0,4,0,0,5,3136.0,60,59,0,195,0,70
24,18-24,male,59,7.0,5,0,0,5,3279.0,61,60,0,197,0,70
25,18-24,male,60,7.0,5,0,0,5,3427.0,62,61,0,199,0,70
26,18-24,male,60,7.0,5,0,0,6,3572.0,63,62,0,201,0,70
27,18-24,male,60,7.0,5,0,0,6,3717.0,64,62,0,203,0,71
28,18-24,male,60,7.0,6,0,0,6,3860.0,65,63,0,204,0,71
29,18-24,male,61,7.0,6,0,0,7,4003.0,66,64,0,206,0,71
30,18-24,male,61,7.0,6,0,0,7,4146.0,67,65,0,208,0,71
31,18-24,male,61,7.0,7,0,0,7,4287.0,68,66,0,209,0,71
32,18-24,male,61,7.0,7,0,0,8,4430.0,69,66,0,211,0,72
33,18-24,male,61,7.0,7,0,0,8,4572.0,70,67,0,213,0,72
34,18-24,male,62,7.0,7,0,0,8,4712.0,71,68,0,214,0,72
35,18-24,male,62,7.0,8,0,0,9,4852.0,72,69,0,216,0,72
36,18-24,male,62,7.0,8,0,0,9,4992.0,72,69,0,217,0,72
37,18-24,male,62,7.0,9,0,0,10,5131.0,73,70,0,219,0,73
38,18-24,male,62,7.0,9,0,0,10,5271.0,74,71,0,220,0,73
39,18-24,male,63,7.0,9,0,0,11,5411.0,75,71,0,222,0,73
40,18-24,male,63,7.0,10,0,0,11,5552.0,76,72,0,223,0,73
41,18-24,male,63,7.0,10,0,0,12,5690.0,77,73,0,225,0,73
42,18-24,male,63,8.0,11,0,0,12,5832.0,78,74,0,226,0,73
43,18-24,male,63,8.0,11,0,0,13,5969.0,79,74,0,228,0,74
44,18-24,male,64,8.0,12,0,0,13,6110.0,79,75,0,229,0,74
45,18-24,male,64,8.0,12,0,0,14,6248.0,80,76,0,231,0,74
46,18-24,male,64,8.0,12,0,0,14,6387.0,81,76,0,232,0,74
47,18-24,male,64,8.0,13,0,0,15,6528.0,82,77,0,234,0,74
48,18-24,male,65,8.0,14,0,0,16,6669.0,83,78,0,235,0,74
49,18-24,male,65,8.0,14,0,0,16,6810.0,84,78,0,237,0,75
50,18-24,male,65,9.0,15,0,0,17,6952.5,85,79,0,238,0,75
51,18-24,male,65,9.0,15,0,0,18,7097.0,85,80,0,240,0,75
52,18-24,male,65,9.0,16,0,0,19,7242.0,86,80,0,241,0,75
53,18-24,male,66,9.0,16,0,0,19,7389.0,87,81,0,243,0,75
54,18-24,male,66,10.0,17,0,0,20,7538.0,88,82,0,244,0,76
55,18-24,male,66,10.0,18,0,0,21,7688.0,89,82,0,246,0,76
56,18-24,male,66,10.0,18,0,0,22,7839.0,90,83,0,247,0,76
57,18-24,male,66,11.0,19,0,0,23,7993.0,90,84,0,249,0,76
58,18-24,male,67,11.0,20,0,0,24,8151.0,91,84,0,250,0,76
59,18-24,male,67,11.0,20,0,0,25,8308.0,92,85,0,252,0,76
60,18-24,male,67,11.0,21,0,0,26,8466.0,93,86,0,253,0,77
61,18-24,male,67,12.0,22,0,0,27,8626.0,94,86,0,255,0,77
62,18-24,male,68,12.0,23,0,0,28,8790.0,95,87,0,257,0,77
63,18-24,male,68,12.0,24,1,0,29,8954.0,96,88,0,258,0,77
64,18-24,male,68,13.0,25,1,0,31,9122.0,96,88,0,260,0,77
65,18-24,male,68,13.0,25,1,0,32,9294.0,97,89,0,261,0,77
66,18-24,male,69,14.0,26,1,0,33,9474.0,98,90,0,263,0,78
67,18-24,male,69,14.0,27,1,0,34,9655.0,99,91,0,265,0,78
68,18-24,male,69,15.0,28,1,0,36,9838.0,100,91,0,267,0,78
69,18-24,male,69,16.0,29,1,0,37,10006.0,101,92,0,268,0,78
70,18-24,male,70,17.0,31,1,0,39,10177.0,102,93,0,270,0,78
71,18-24,male,70,17.0,32,2,0,41,10362.0,103,94,0,272,0,79
72,18-24,male,70,18.0,33,2,0,42,10550.0,104,94,0,274,0,79
73,18-24,male,70,19.0,34,2,0,44,10745.0,105,95,0,276,0,79
74,18-24,male,71,20.0,35,2,0,46,10946.0,106,96,0,278,0,79
75,18-24,male,71,20.0,37,2,0,48,11154.0,107,97,0,279,0,79
76,18-24,male,71,21.0,38,3,0,50,11367.0,108,98,0,282,0,80
77,18-24,male,72,22.0,40,3,0,52,11586.0,109,99,0,284,0,80
78,18-24,male,72,22.0,41,3,0,54,11814.0,110,99,0,286,0,80
79,18-24,male,72,22.0,43,4,0,57,12051.0,111,100,0,288,0,80
80,18-24,male,72,22.0,45,4,0,59,12295.0,113,101,0,290,0,80
81,18-24,male,73,22.0,46,5,0,62,12552.0,114,102,0,293,0,81
82,18-24,male,73,22.0,48,5,0,65,12819.0,115,103,0,295,0,81
83,18-24,male,74,22.0,50,6,0,68,13092.0,117,104,0,298,0,81
84,18-24,male,74,22.0,53,6,0,71,13383.0,118,105,0,301,56,82
85,18-24,male,74,23.0,55,7,0,75,13683.0,119,106,0,303,64,82
86,18-24,male,75,23.0,57,8,0,79,14000.0,121,108,0,306,72,82
87,18-24,male,75,23.0,60,8,0,83,14334.0,122,109,0,309,82,82
88,18-24,male,76,23.0,63,9,0,87,14693.0,124,110,0,313,92,83
89,18-24,male,76,23.0,66,10,0,92,15067.0,126,111,0,317,104,83
90,18-24,male,77,24.0,70,12,0,97,15473.0,128,113,0,320,118,83
91,18-24,male,77,24.0,74,13,0,103,15914.0,130,114,1,325,134,84
92,18-24,male,78,24.0,79,15,0,110,16396.0,132,116,1,329,152,84
93,18-24,male,79,25.0,84,17,0,117,16928.0,135,118,1,334,186,85
94,18-24,male,79,25.0,90,19,0,126,17511.0,138,120,1,340,263,85
95,18-24,male,80,26.0,97,21,1,136,18174.0,141,122,1,347,341,86
96,18-24,male,81,26.0,105,24,1,148,18929.0,145,124,1,355,392,86
97,18-24,male,83,27.0,115,28,2,164,19833.0,149,127,2,365,428,87
98,18-24,male,84,29.0,128,32,5,185,20938.0,156,131,2,379,459,88
99,18-24,male,87,32.0,147,40,9,215,22343.0,165,136,3,401,490,89
100,18-24,male,92,36.0,175,51,26,265,24467.0,189,144,4,456,528,96
1,25-34,female,51,7.0,1,0,0,1,14.0,17,16,0,113,0,59
2,25-34,female,53,7.0,1,0,0,1,49.0,25,23,0,127,0,61
3,25-34,female,54,7.0,1,0,0,1,137.0,30,27,0,138,0,62
4,25-34,female,55,7.0,1,0,0,1,276.0,34,30,0,146,0,63
5,25-34,female,56,7.0,1,0,0,1,468.0,37,33,0,152,0,63
6,25-34,female,56,7.0,1,0,0,1,686.0,40,35,0,158,0,64
7,25-34,female,57,7.0,1,0,0,1,907.0,43,37,0,163,0,64
8,25-34,female,57,7.0,1,0,0,2,1121.0,45,39,0,168,0,65
9,25-34,female,58,7.0,2,0,0,2,1327.0,47,41,0,172,0,65
10,25-34,female,58,7.0,2,0,0,2,1523.0,49,42,0,175,0,66
11,25-34,female,59,7.0,2,0,0,2,1710.0,51,44,0,179,0,66
12,25-34,female,59,7.0,2,0,0,2,1892.0,53,45,0,182,0,66
13,25-34,female,59,7.0,2,0,0,2,2065.0,55,46,0,185,0,67
14,25-34,female,60,7.0,2,0,0,3,2232.0,56,47,0,188,0,67
15,25-34,female,60,7.0,3,0,0,3,2394.0,58,48,0,190,0,67
16,25-34,female,60,7.0,3,0,0,3,2551.0,59,49,0,193,0,68
17,25-34,female,61,7.0,3,0,0,3,2704.0,61,51,0,195,0,68
18,25-34,female,61,7.0,3,0,0,3,2852.0,62,51,0,197,0,68
19,25-34,female,61,7.0,3,0,0,4,2997.0,63,52,0,200,0,68
20,25-34,female,62,7.0,3,0,0,4,3138.0,65,53,0,202,0,69
21,25-34,female,62,7.0,4,0,0,4,3276.0,66,54,0,204,0,69
22,25-34,female,62,7.0,4,0,0,4,3411.0,67,55,0,206,0,69
23,25-34,female,62,7.0,4,0,0,4,3545.0,68,56,0,208,0,69
24,25-34,female,63,7.0,4,0,0,5,3676.0,69,57,0,210,0,70
25,25-34,female,63,7.0,5,0,0,5,3806.0,71,58,0,211,0,70
26,25-34,female,63,7.0,5,0,0,5,3934.0,72,58,0,213,0,70
27,25-34,female,63,7.0,5,0,0,5,4059.0,73,59,0,215,0,70
28,25-34,female,64,7.0,5,0,0,6,4184.0,74,60,0,217,0,70
29,25-34,female,64,7.0,6,0,0,6,4307.0,75,61,0,218,0,71
30,25-34,female,64,7.0,6,0,0,6,4429.0,76,61,0,220,0,71
31,25-34,female,64,7.0,6,0,0,7,4550.0,77,62,0,222,0,71
32,25-34,female,65,7.0,6,0,0,7,4670.0,78,63,0,223,0,71
33,25-34,female,65,7.0,7,0,0,7,4790.0,79,64,0,225,0,71
34,25-34,female,65,7.0,7,0,0,8,4909.0,79,64,0,227,0,72
35,25-34,female,65,7.0,7,0,0,8,5027.0,80,65,0,228,0,72
36,25-34,female,65,7.0,8,0,0,8,5144.0,81,66,0,230,0,72
37,25-34,female,66,7.0,8,0,0,9,5262.0,82,66,0,231,0,72
38,25-34,female,66,7.0,8,0,0,9,5379.0,83,67,0,233,0,72
39,25-34,female,66,7.0,9,0,0,10,5496.0,84,68,0,234,0,73
40,25-34,female,66,7.0,9,0,0,10,5614.0,85,68,0,236,0,73
41,25-34,female,67,7.0,9,0,0,11,5731.0,86,69,0,237,0,73
42,25-34,female,67,7.0,10,0,0,11,5849.0,87,70,0,239,0,73
43,25-34,female,67,7.0,10,0,0,11,5967.0,87,70,0,240,0,73
44,25-34,female,67,7.0,11,0,0,12,6084.0,88,71,0,242,0,74
45,25-34,female,67,7.0,11,0,0,12,6202.0,89,72,0,243,0,74
46,25-34,female,68,8.0,11,0,0,13,6321.0,90,72,0,245,0,74
47,25-34,female,68,8.0,12,0,0,14,6440.0,91,73,0,246,0,74
48,25-34,female,68,8.0,12,0,0,14,6560.0,92,73,0,248,0,74
49,25-34,female,68,8.0,13,0,0,15,6682.0,92,74,0,249,0,74
50,25-34,female,68,8.0,13,0,0,15,6803.0,93,75,0,250,0,75
51,25-34,female,69,8.0,14,0,0,16,6927.0,94,75,0,252,0,75
52,25-34,female,69,8.0,14,0,0,17,7050.0,95,76,0,253,0,75
53,25-34,female,69,8.0,15,0,0,17,7174.0,96,77,0,255,0,75
54,25-34,female,69,9.0,15,0,0,18,7300.0,97,77,0,256,0,75
55,25-34,female,69,9.0,16,0,0,19,7427.0,97,78,0,258,0,75
56,25-34,female,70,9.0,17,0,0,19,7555.0,98,79,0,259,0,76
57,25-34,female,70,9.0,17,0,0,20,7685.0,99,79,0,261,0,76
58,25-34,female,70,10.0,18,0,0,21,7816.0,100,80,0,262,0,76
59,25-34,female,70,10.0,18,0,0,22,7950.0,101,80,0,264,0,76
60,25-34,female,71,10.0,19,0,0,23,8081.0,102,81,0,265,0,76
61,25-34,female,71,10.0,20,0,0,24,8216.0,103,82,0,267,0,77
62,25-34,female,71,11.0,20,0,0,25,8354.0,103,82,0,269,0,77
63,25-34,female,71,11.0,21,0,0,26,8495.0,104,83,0,270,0,77
64,25-34,female,71,11.0,22,0,0,27,8637.0,105,84,0,272,0,77
65,25-34,female,72,11.0,22,0,0,28,8782.0,106,84,0,273,0,77
66,25-34,female,72,11.0,23,0,0,29,8932.0,107,85,0,275,0,77
67,25-34,female,72,12.0,24,1,0,30,9084.0,108,86,0,277,0,78
68,25-34,female,72,12.0,25,1,0,31,9240.0,109,87,0,278,0,78
69,25-34,female,73,12.0,26,1,0,33,9400.0,110,87,0,280,0,78
70,25-34,female,73,13.0,27,1,0,34,9565.0,111,88,0,282,0,78
71,25-34,female,73,13.0,28,1,0,35,9736.0,111,89,0,284,0,78
72,25-34,female,73,14.0,29,1,0,37,9913.0,112,89,0,286,0,79
73,25-34,female,74,15.0,30,1,0,38,10051.0,113,90,0,287,0,79
74,25-34,female,74,15.0,31,2,0,40,10196.0,114,91,0,289,0,79
75,25-34,female,74,16.0,32,2,0,42,10359.0,115,92,0,291,0,79
76,25-34,female,74,17.0,33,2,0,43,10532.0,116,93,0,293,0,79
77,25-34,female,75,18.0,34,2,0,45,10714.0,118,93,0,295,0,80
78,25-34,female,75,18.0,35,3,0,47,10904.0,119,94,0,297,0,80
79,25-34,female,75,19.0,37,3,0,49,11100.0,120,95,0,300,42,80
80,25-34,female,76,20.0,38,3,0,51,11302.0,121,96,0,302,59,80
81,25-34,female,76,21.0,39,4,0,54,11515.0,122,97,0,304,64,81
82,25-34,female,76,22.0,41,4,0,56,11739.0,123,98,0,307,70,81
83,25-34,female,77,22.0,43,4,0,59,11975.0,125,99,0,309,76,81
84,25-34,female,77,22.0,44,5,0,61,12214.0,126,100,0,312,83,81
85,25-34,female,77,22.0,46,6,0,64,12470.0,127,101,0,315,91,82
86,25-34,female,78,22.0,48,6,0,68,12741.0,129,102,0,318,100,82
87,25-34,female,78,22.0,51,7,0,71,13031.0,130,103,1,321,111,82
88,25-34,female,78,22.0,53,8,0,75,13342.0,132,105,1,324,123,83
89,25-34,female,79,23.0,56,9,0,79,13677.0,134,106,1,328,137,83
90,25-34,female,79,23.0,59,10,0,83,14040.0,136,107,1,332,153,83
91,25-34,female,80,23.0,62,12,0,88,14435.0,138,109,1,336,183,84
92,25-34,female,80,23.0,66,13,0,93,14874.0,140,110,1,341,248,84
93,25-34,female,81,23.0,70,15,0,99,15350.0,142,112,1,346,317,84
94,25-34,female,82,24.0,75,17,0,106,15893.0,145,114,1,352,369,85
95,25-34,female,83,24.0,81,20,0,115,16523.0,148,117,2,359,403,85
96,25-34,female,84,25.0,89,22,1,125,17278.0,152,119,2,367,429,86
97,25-34,female,85,26.0,99,26,2,139,18203.0,156,123,2,377,452,87
98,25-34,female,86,27.0,113,30,4,159,19437.0,162,127,3,390,475,88
99,25-34,female,88,30.0,134,37,8,191,21175.0,171,133,3,411,499,89
100,25-34,female,92,36.0,175,51,26,265,24468.0,189,144,4,456,528,96
1,25-34,male,48,7.0,1,0,0,1,16.0,13,16,0,106,0,59
2,25-34,male,50,7.0,1,0,0,1,53.0,20,22,0,118,0,61
3,25-34,male,51,7.0,1,0,0,1,134.0,24,26,0,127,0,62
4,25-34,male,52,7.0,1,0,0,1,269.0,28,29,0,134,0,63
5,25-34,male,53,7.0,1,0,0,1,459.0,31,32,0,140,0,63
6,25-34,male,53,7.0,1,0,0,1,672.0,33,34,0,146,0,64
7,25-34,male,54,7.0,1,0,0,1,889.0,36,36,0,150,0,65
8,25-34,male,54,7.0,1,0,0,1,1100.0,38,38,0,154,0,65
9,25-34,male,55,7.0,2,0,0,2,1303.0,40,39,0,158,0,65
10,25-34,male,55,7.0,2,0,0,2,1495.0,42,41,0,161,0,66
11,25-34,male,55,7.0,2,0,0,2,1681.0,43,42,0,165,0,66
12,25-34,male,56,7.0,2,0,0,2,1862.0,45,43,0,167,0,67
13,25-34,male,56,7.0,2,0,0,2,2036.0,47,45,0,170,0,67
14,25-34,male,56,7.0,2,0,0,2,2205.0,48,46,0,173,0,67
15,25-34,male,57,7.0,2,0,0,3,2371.0,50,47,0,176,0,67
16,25-34,male,57,7.0,3,0,0,3,2532.0,51,48,0,178,0,68
17,25-34,male,57,7.0,3,0,0,3,2689.0,52,49,0,180,0,68
18,25-34,male,57,7.0,3,0,0,3,2844.0,53,50,0,182,0,68
19,25-34,male,58,7.0,3,0,0,3,2995.0,55,51,0,185,0,69
20,25-34,male,58,7.0,3,0,0,4,3144.0,56,52,0,187,0,69
21,25-34,male,58,7.0,4,0,0,4,3290.0,57,53,0,189,0,69
22,25-34,male,58,7.0,4,0,0,4,3435.0,58,53,0,191,0,69
23,25-34,male,59,7.0,4,0,0,4,3578.0,59,54,0,193,0,70
24,25-34,male,59,7.0,4,0,0,5,3719.0,60,55,0,194,0,70
25,25-34,male,59,7.0,4,0,0,5,3858.0,61,56,0,196,0,70
26,25-34,male,59,7.0,5,0,0,5,3996.0,62,57,0,198,0,70
27,25-34,male,60,7.0,5,0,0,5,4133.0,63,57,0,200,0,70
28,25-34,male,60,7.0,5,0,0,6,4269.0,64,58,0,201,0,71
29,25-34,male,60,7.0,5,0,0,6,4404.0,65,59,0,203,0,71
30,25-34,male,60,7.0,6,0,0,6,4538.0,66,60,0,205,0,71
31,25-34,male,61,7.0,6,0,0,7,4673.0,67,60,0,206,0,71
32,25-34,male,61,7.0,6,0,0,7,4807.0,68,61,0,208,0,71
33,25-34,male,61,7.0,7,0,0,7,4940.0,69,62,0,210,0,72
34,25-34,male,61,7.0,7,0,0,8,5072.0,70,63,0,211,0,72
35,25-34,male,61,7.0,7,0,0,8,5204.0,71,63,0,213,0,72
36,25-34,male,62,7.0,8,0,0,9,5337.0,72,64,0,214,0,72
37,25-34,male,62,7.0,8,0,0,9,5468.0,73,65,0,216,0,72
38,25-34,male,62,7.0,8,0,0,9,5600.0,74,65,0,217,0,73
39,25-34,male,62,7.0,9,0,0,10,5731.0,74,66,0,219,0,73
40,25-34,male,62,7.0,9,0,0,10,5864.0,75,67,0,220,0,73
41,25-34,male,63,7.0,9,0,0,11,5996.0,76,67,0,222,0,73
42,25-34,male,63,7.0,10,0,0,11,6128.0,77,68,0,223,0,73
43,25-34,male,63,8.0,10,0,0,12,6260.0,78,69,0,225,0,73
44,25-34,male,63,8.0,11,0,0,12,6392.0,79,69,0,226,0,74
45,25-34,male,63,8.0,11,0,0,13,6526.0,79,70,0,228,0,74
46,25-34,male,64,8.0,11,0,0,13,6659.0,80,71,0,229,0,74
47,25-34,male,64,8.0,12,0,0,14,6794.0,81,71,0,231,0,74
48,25-34,male,64,8.0,12,0,0,15,6929.0,82,72,0,232,0,74
49,25-34,male,64,8.0,13,0,0,15,7065.0,83,73,0,234,0,74
50,25-34,male,64,8.0,13,0,0,16,7202.0,84,73,0,235,0,75
