datetime,steps,sleep_minutes,bed_time,wake_up_time,resting_heart_rate,heart_rate_variability,active_zone_minutes,deep_sleep_minutes,rem_sleep_minutes,light_sleep_minutes,awake_minutes,deep_sleep_percent,rem_sleep_percent,light_sleep_percent,awake_percent,sleep_score,stress_management_score,readiness_score,cardio_load_total,fatburn_active_zone_minutes,cardio_active_zone_minutes,peak_active_zone_minutes
2024-02-02,11114,350,2024-02-02 22:21:00,2024-02-03 04:11:00,73.0,48.6,57,56,93,174,25,16.0,26.9,49.8,7.4,71,69.0,75,40.3,23,20,9
2024-02-03,6687,477,2024-02-03 22:46:00,2024-02-04 06:43:00,65.4,49.4,37,96,95,285,5,20.3,20.0,59.8,-0.1,89,75.0,58,67.9,15,17,5
2024-02-04,2473,434,2024-02-04 23:33:00,2024-02-05 06:47:00,63.9,37.6,1,56,85,196,60,13.1,19.6,45.2,22.1,71,78.0,86,55.7,0,0,1
2024-02-05,9648,386,2024-02-05 23:00:00,2024-02-06 05:26:00,72.0,49.7,44,47,75,259,5,12.3,19.5,67.1,1.1,78,80.0,90,68.8,25,15,5
2024-02-06,8229,489,2024-02-06 21:54:00,2024-02-07 06:03:00,58.5,35.7,31,72,124,300,5,14.7,25.5,61.5,-1.7,80,55.0,70,74.9,16,7,9
2024-02-07,7646,425,2024-02-07 23:54:00,2024-02-08 06:59:00,64.2,39.0,47,89,120,221,5,21.1,28.4,52.2,-1.8,84,74.0,81,56.6,20,12,10
2024-02-08,10223,473,2024-02-08 23:25:00,2024-02-09 07:18:00,64.9,51.7,42,81,115,269,6,17.3,24.3,56.9,1.4,93,70.0,84,52.8,16,15,7
2024-02-09,11061,423,2024-02-09 23:42:00,2024-02-10 06:45:00,59.4,48.5,53,51,95,203,60,12.3,22.6,48.0,17.1,74,,73,30.5,33,16,4
2024-02-10,7862,512,2024-02-10 23:09:00,2024-02-11 07:41:00,59.8,44.1,44,99,103,283,26,19.4,20.2,55.3,5.1,87,72.0,61,89.7,21,15,7
2024-02-11,4321,498,2024-02-11 23:29:00,2024-02-12 07:47:00,59.3,29.9,15,49,116,269,60,10.0,23.3,54.1,12.6,93,65.0,94,21.6,3,10,1
2024-02-12,8381,408,2024-02-12 23:49:00,2024-02-13 06:37:00,62.4,32.9,48,87,76,207,36,21.4,18.7,50.8,9.0,79,73.0,70,52.4,33,21,5
2024-02-13,9662,463,2024-02-13 22:17:00,2024-02-14 06:00:00,64.7,48.3,64,81,66,243,60,17.6,14.3,52.7,15.5,73,71.0,67,66.7,28,29,8
2024-02-14,10951,449,2024-02-14 21:16:00,2024-02-15 04:45:00,62.6,53.8,56,91,128,234,5,20.3,28.5,52.2,-1.0,64,52.0,94,66.9,33,24,6
2024-02-15,8041,481,2024-02-15 23:25:00,2024-02-16 07:26:00,65.5,31.7,49,48,86,237,60,10.1,18.0,49.3,22.6,93,76.0,82,26.9,18,24,8
2024-02-16,8628,376,2024-02-16 23:07:00,2024-02-17 05:23:00,52.2,34.9,22,58,77,190,49,15.5,20.7,50.7,13.1,76,68.0,78,41.6,9,9,6
2024-02-17,3787,450,2024-02-17 23:46:00,2024-02-18 07:16:00,60.9,46.6,14,65,110,215,58,14.6,24.6,47.8,13.0,69,71.0,63,34.0,9,2,3
2024-02-18,3607,467,2024-02-18 22:39:00,2024-02-19 06:26:00,56.9,46.4,19,55,129,276,5,12.0,27.7,59.3,1.0,67,63.0,84,10.4,9,3,8
2024-02-19,10625,340,2024-02-19 22:48:00,2024-02-20 04:28:00,63.5,25.5,42,37,78,171,52,11.1,23.0,50.3,15.5,69,61.0,100,52.6,22,18,3
2024-02-20,11712,366,2024-02-20 23:11:00,2024-02-21 05:17:00,63.4,46.9,60,60,63,178,60,16.5,17.2,48.9,17.4,85,80.0,85,35.6,27,21,7
2024-02-21,8855,328,2024-02-21 22:26:00,2024-02-22 03:54:00,61.4,37.8,54,55,68,194,10,16.8,20.8,59.2,3.2,86,83.0,80,80.1,19,19,6
2024-02-22,11007,407,2024-02-22 23:07:00,2024-02-23 05:54:00,64.6,64.7,36,76,78,231,20,18.9,19.3,56.8,5.0,83,76.0,83,62.3,25,10,7
2024-02-23,9723,452,2024-02-23 23:24:00,2024-02-24 06:56:00,67.0,48.0,36,60,98,266,25,13.5,21.8,59.0,5.6,79,53.0,71,50.8,15,11,4
2024-02-24,4709,487,2024-02-24 23:45:00,2024-02-25 07:52:00,61.7,50.1,25,70,131,290,5,14.6,26.9,59.6,-1.1,68,76.0,70,40.5,13,9,4
2024-02-25,6722,423,2024-02-25 23:03:00,2024-02-26 06:06:00,56.7,50.4,38,45,50,273,53,10.9,11.9,64.7,12.6,72,54.0,70,52.3,22,10,6
2024-02-26,12076,493,2024-02-26 22:32:00,2024-02-27 06:45:00,54.1,30.4,67,96,100,267,28,19.6,20.4,54.2,5.8,69,65.0,68,44.9,35,24,7
2024-02-27,8928,357,2024-02-27 23:00:00,2024-02-28 04:57:00,62.2,68.3,45,54,71,170,60,15.2,20.1,47.7,17.0,82,80.0,70,51.4,18,20,5
2024-02-28,12129,343,2024-02-28 22:18:00,2024-02-29 04:01:00,63.2,25.5,65,58,58,193,32,17.2,17.0,56.4,9.5,69,,70,88.0,38,16,11
2024-02-29,3760,417,2024-02-29 22:30:00,2024-03-01 05:27:00,57.2,54.5,27,72,101,215,28,17.3,24.3,51.7,6.7,72,76.0,72,28.7,16,4,2
2024-03-01,10643,437,2024-03-01 22:15:00,2024-03-02 05:32:00,65.6,52.4,49,84,71,219,60,19.4,16.3,50.2,14.1,76,,71,46.6,25,19,3
2024-03-02,6174,418,2024-03-02 23:13:00,2024-03-03 06:11:00,59.7,,24,52,70,231,60,12.5,16.8,55.5,15.2,64,77.0,77,64.1,12,12,1
2024-03-03,5401,326,2024-03-03 22:52:00,2024-03-04 04:18:00,,53.0,25,55,82,193,5,17.1,25.4,59.3,-1.8,78,,75,42.0,20,7,3
2024-03-04,9183,415,2024-03-04 23:47:00,2024-03-05 06:42:00,68.3,41.2,47,61,116,210,25,14.9,28.0,50.8,6.3,77,68.0,77,81.6,19,10,7
2024-03-05,5024,361,2024-03-05 22:04:00,2024-03-06 04:05:00,67.7,36.9,18,76,78,221,5,21.3,21.7,61.4,-4.4,87,71.0,93,63.6,11,10,2
2024-03-06,8560,450,2024-03-06 22:40:00,2024-03-07 06:10:00,51.9,50.6,38,56,77,225,60,12.5,17.1,50.1,20.3,71,70.0,75,35.6,16,10,4
2024-03-07,9714,436,2024-03-07 22:25:00,2024-03-08 05:41:00,59.2,32.9,52,80,83,234,37,18.5,19.2,53.8,8.5,67,65.0,100,54.1,16,17,9
2024-03-08,11955,377,2024-03-08 00:27:00,2024-03-08 06:44:00,,42.3,61,60,98,214,5,16.1,26.0,56.9,1.0,75,61.0,79,35.9,20,22,8
2024-03-09,4963,396,2024-03-09 23:01:00,2024-03-10 05:37:00,70.2,37.9,22,62,88,210,33,15.9,22.5,53.1,8.6,69,96.0,69,34.1,5,5,3
2024-03-10,4383,372,2024-03-10 23:49:00,2024-03-11 06:01:00,,41.0,4,56,80,171,60,15.2,21.6,46.1,17.1,78,68.0,91,47.2,0,0,0
2024-03-11,7996,417,2024-03-11 21:05:00,2024-03-12 04:02:00,54.5,50.2,39,79,96,248,5,19.0,23.3,59.6,-1.9,63,95.0,74,75.3,30,11,8
2024-03-12,10830,462,2024-03-12 23:08:00,2024-03-13 06:50:00,66.4,37.9,44,72,100,239,48,15.8,21.8,51.9,10.5,73,60.0,46,64.9,25,20,5
2024-03-13,9657,375,2024-03-13 23:32:00,2024-03-14 05:47:00,55.8,42.7,58,39,105,220,9,10.4,28.2,58.7,2.7,70,78.0,74,49.5,32,23,8
2024-03-14,7940,442,2024-03-14 23:40:00,2024-03-15 07:02:00,60.7,39.0,36,82,83,215,60,18.7,19.0,48.7,13.7,82,74.0,72,65.6,14,14,7
2024-03-15,10026,396,2024-03-15 23:24:00,2024-03-16 06:00:00,58.2,62.3,40,71,73,196,54,18.1,18.5,49.5,13.8,71,62.0,94,55.4,20,7,6
2024-03-16,6194,384,2024-03-16 22:47:00,2024-03-17 05:11:00,59.2,49.1,30,64,63,227,28,16.8,16.5,59.3,7.5,64,67.0,64,26.6,26,12,5
2024-03-17,7937,415,2024-03-17 00:12:00,2024-03-17 07:07:00,66.7,47.6,52,48,82,235,49,11.6,19.8,56.7,11.8,76,71.0,71,47.1,19,19,3
2024-03-18,7595,373,2024-03-18 00:08:00,2024-03-18 06:21:00,69.6,53.2,44,45,65,196,60,12.1,17.6,52.8,17.5,80,63.0,90,48.5,24,11,7
2024-03-19,8344,395,2024-03-19 22:52:00,2024-03-20 05:27:00,55.6,37.9,43,37,90,224,43,9.4,22.9,56.8,11.0,75,69.0,79,65.2,29,15,6
2024-03-20,8215,366,2024-03-20 22:12:00,2024-03-21 04:18:00,65.1,55.3,27,59,80,183,41,16.4,22.1,50.2,11.3,73,48.0,72,38.7,18,12,5
2024-03-21,6072,508,2024-03-21 00:30:00,2024-03-21 08:58:00,58.3,49.2,46,55,89,282,60,11.0,17.7,55.6,15.8,72,79.0,65,31.7,32,17,7
2024-03-22,9592,421,2024-03-22 00:40:00,2024-03-22 07:41:00,58.5,26.3,41,41,102,234,42,9.8,24.4,55.6,10.2,78,84.0,79,49.1,21,12,5
2024-03-23,6522,388,2024-03-23 22:10:00,2024-03-24 04:38:00,64.5,27.9,41,73,108,206,5,18.8,28.1,53.1,-0.0,70,76.0,74,37.1,23,14,7
2024-03-24,6010,429,2024-03-24 22:03:00,2024-03-25 05:12:00,56.9,38.1,26,74,100,218,36,17.3,23.4,50.8,8.4,75,94.0,65,43.5,13,11,4
2024-03-25,8530,414,2024-03-25 22:33:00,2024-03-26 05:27:00,64.4,29.1,51,57,48,229,60,14.0,11.8,55.4,18.8,84,78.0,66,48.4,28,18,5
2024-03-26,6169,410,2024-03-26 21:37:00,2024-03-27 04:27:00,65.7,42.1,43,59,122,224,5,14.6,29.9,54.7,0.7,67,83.0,65,42.3,16,18,9
2024-03-27,8158,447,2024-03-27 22:45:00,2024-03-28 06:12:00,59.8,32.8,47,34,111,235,60,7.8,25.0,52.7,14.6,77,84.0,63,69.3,27,17,4
2024-03-28,8314,454,2024-03-28 22:03:00,2024-03-29 05:37:00,68.6,43.8,49,80,135,226,11,17.8,29.8,49.8,2.6,63,44.0,86,78.3,25,19,9
2024-03-29,7395,396,2024-03-29 22:37:00,2024-03-30 05:13:00,55.6,61.9,35,51,104,218,22,12.9,26.4,55.1,5.7,79,76.0,84,67.3,17,14,8
2024-03-30,5677,394,2024-03-30 22:18:00,2024-03-31 04:52:00,68.7,44.4,24,63,107,207,16,16.0,27.2,52.7,4.2,70,58.0,86,14.6,20,5,1
2024-03-31,6808,407,2024-03-31 23:05:00,2024-04-01 05:52:00,52.3,41.4,35,30,92,202,60,7.5,22.8,49.8,19.8,86,60.0,75,37.2,16,12,5
2024-04-01,12772,316,2024-04-01 00:33:00,2024-04-01 05:49:00,75.5,49.7,60,56,66,174,18,17.9,21.0,55.2,5.9,66,61.0,72,46.4,36,20,8
2024-04-02,9349,351,2024-04-02 22:17:00,2024-04-03 04:08:00,60.0,36.6,71,44,82,221,5,12.7,23.5,63.0,0.7,81,68.0,72,13.1,42,27,10
2024-04-03,9515,481,2024-04-03 23:12:00,2024-04-04 07:13:00,56.2,55.1,37,52,92,255,60,10.9,19.2,53.2,16.8,87,78.0,87,32.5,22,14,9
2024-04-04,8851,494,2024-04-04 22:40:00,2024-04-05 06:54:00,60.8,50.9,54,69,117,308,5,14.0,23.7,62.5,-0.2,69,76.0,53,46.2,22,18,5
2024-04-05,5162,408,2024-04-05 22:22:00,2024-04-06 05:10:00,56.8,45.5,30,53,46,267,39,13.2,11.5,65.6,9.7,71,71.0,68,41.0,16,6,3
2024-04-06,5946,445,2024-04-06 23:18:00,2024-04-07 06:43:00,63.9,46.9,32,81,98,223,41,18.2,22.2,50.2,9.4,70,79.0,64,50.2,25,6,7
2024-04-07,6120,434,2024-04-07 22:44:00,2024-04-08 05:58:00,68.8,69.5,45,59,118,238,16,13.7,27.4,55.0,3.8,74,79.0,91,22.4,13,16,6
2024-04-08,13926,558,2024-04-08 23:10:00,2024-04-09 08:28:00,57.0,56.3,72,106,124,365,5,19.1,22.4,65.5,-7.0,82,76.0,69,40.8,35,23,8
2024-04-09,8615,470,2024-04-09 23:00:00,2024-04-10 06:50:00,64.9,71.4,36,75,135,255,5,16.0,28.9,54.4,0.7,73,54.0,55,53.0,23,14,5
2024-04-10,9603,414,2024-04-10 23:23:00,2024-04-11 06:17:00,54.3,51.4,50,73,86,228,25,17.7,20.9,55.2,6.2,69,64.0,77,50.2,24,12,9
2024-04-11,8930,377,2024-04-11 23:53:00,2024-04-12 06:10:00,67.2,27.3,42,56,98,175,46,15.0,26.0,46.6,12.3,61,,70,58.9,25,19,5
2024-04-12,6662,347,2024-04-12 00:06:00,2024-04-12 05:53:00,64.1,41.9,38,65,64,181,35,18.8,18.5,52.3,10.4,90,79.0,68,57.8,26,15,6
2024-04-13,8285,429,2024-04-13 22:24:00,2024-04-14 05:33:00,67.4,24.6,49,49,110,247,20,11.5,25.8,57.8,4.8,91,58.0,67,41.9,25,17,4
2024-04-14,7503,385,2024-04-14 22:20:00,2024-04-15 04:45:00,61.4,51.3,28,59,88,258,5,15.3,22.9,67.1,-5.4,82,71.0,66,52.4,16,14,1
2024-04-15,10582,355,2024-04-15 22:14:00,2024-04-16 04:09:00,59.8,53.9,64,49,74,191,39,13.8,21.1,54.0,11.0,71,56.0,83,34.0,32,25,8
2024-04-16,7181,390,2024-04-16 22:00:00,2024-04-17 04:30:00,66.1,34.4,33,74,45,182,60,19.2,11.7,46.7,22.4,83,82.0,77,44.6,17,10,6
2024-04-17,11805,371,2024-04-17 22:11:00,2024-04-18 04:22:00,,37.1,63,72,77,177,42,19.5,21.0,48.0,11.5,85,74.0,72,28.9,42,22,10
2024-04-18,6196,495,2024-04-18 23:57:00,2024-04-19 08:12:00,,,37,74,113,271,36,15.0,22.9,54.8,7.3,75,58.0,61,71.3,18,7,3
2024-04-19,10173,459,2024-04-19 00:06:00,2024-04-19 07:45:00,62.0,30.6,54,51,116,279,12,11.1,25.3,60.9,2.7,78,58.0,72,44.5,25,22,9
2024-04-20,10380,419,2024-04-20 22:14:00,2024-04-21 05:13:00,60.1,29.7,50,68,118,243,5,16.3,28.2,58.2,-2.7,87,75.0,78,71.3,30,16,7
2024-04-21,4018,486,2024-04-21 22:20:00,2024-04-22 06:26:00,64.8,59.9,15,48,146,278,12,10.0,30.1,57.3,2.6,64,85.0,78,56.2,3,0,0
2024-04-22,7867,423,2024-04-22 23:18:00,2024-04-23 06:21:00,67.5,46.4,36,84,114,260,5,19.9,27.0,61.5,-8.4,85,61.0,76,32.3,14,9,2
2024-04-23,9199,381,2024-04-23 22:59:00,2024-04-24 05:20:00,64.7,38.3,61,51,75,195,58,13.6,19.8,51.4,15.3,75,79.0,63,55.0,27,23,9
2024-04-24,7993,488,2024-04-24 23:28:00,2024-04-25 07:36:00,67.1,24.7,31,72,101,268,44,14.9,20.8,55.1,9.2,69,66.0,46,66.2,14,15,7
2024-04-25,5898,444,2024-04-25 23:24:00,2024-04-26 06:48:00,63.6,55.2,22,57,110,232,43,13.0,25.0,52.4,9.7,69,,96,48.4,9,7,3
2024-04-26,9137,373,2024-04-26 21:32:00,2024-04-27 03:45:00,64.5,36.8,38,45,89,200,37,12.3,24.1,53.6,10.0,71,78.0,59,51.5,22,10,3
2024-04-27,3875,411,2024-04-27 00:48:00,2024-04-27 07:39:00,61.4,67.3,20,70,117,205,17,17.2,28.5,50.0,4.3,68,73.0,51,39.0,8,2,0
2024-04-28,6947,380,2024-04-28 00:31:00,2024-04-28 06:51:00,64.3,55.3,19,55,121,202,5,14.5,31.9,53.3,0.3,92,,76,50.5,13,10,5
2024-04-29,7161,357,2024-04-29 22:48:00,2024-04-30 04:45:00,62.8,,22,54,110,195,5,15.1,31.1,54.9,-1.1,81,78.0,54,54.8,15,9,5
2024-04-30,12099,461,2024-04-30 22:34:00,2024-05-01 06:15:00,,36.4,57,55,128,244,31,12.0,28.0,53.1,6.9,86,77.0,65,38.4,25,18,9
2024-05-01,7433,505,2024-05-01 23:43:00,2024-05-02 08:08:00,61.2,65.7,24,88,121,273,20,17.6,24.1,54.2,4.1,82,76.0,81,28.4,16,6,6
2024-05-02,8355,357,2024-05-02 23:37:00,2024-05-03 05:34:00,66.0,44.0,29,63,97,203,5,17.9,27.4,57.0,-2.3,78,73.0,96,75.8,19,12,4
2024-05-03,10627,445,2024-05-03 23:25:00,2024-05-04 06:50:00,58.4,38.8,40,63,127,272,5,14.4,28.6,61.2,-4.2,78,63.0,79,62.1,11,15,4
2024-05-04,3538,390,2024-05-04 00:10:00,2024-05-04 06:40:00,61.9,,9,73,83,240,5,18.8,21.4,61.6,-1.8,74,82.0,69,39.0,5,0,2
2024-05-05,6454,398,2024-05-05 22:34:00,2024-05-06 05:12:00,68.6,38.8,39,58,79,234,26,14.7,19.9,58.8,6.6,75,80.0,74,54.4,16,10,4
2024-05-06,11614,393,2024-05-06 22:07:00,2024-05-07 04:40:00,57.3,47.9,67,68,74,191,59,17.3,18.9,48.7,15.0,66,61.0,53,20.4,40,20,8
2024-05-07,5785,381,2024-05-07 21:45:00,2024-05-08 04:06:00,51.2,44.1,48,38,70,202,60,10.1,18.5,53.2,18.2,86,85.0,69,10.5,21,15,8
2024-05-08,9369,422,2024-05-08 22:13:00,2024-05-09 05:15:00,63.8,55.5,65,67,69,226,58,16.1,16.5,53.6,13.8,63,73.0,69,71.7,25,20,11
2024-05-09,9519,382,2024-05-09 22:09:00,2024-05-10 04:31:00,60.7,40.3,55,54,87,197,42,14.2,23.0,51.7,11.1,69,,76,54.6,27,24,5
2024-05-10,10563,432,2024-05-10 00:01:00,2024-05-10 07:13:00,67.1,34.4,63,66,77,244,42,15.5,18.0,56.7,9.8,94,70.0,98,49.0,27,20,6
2024-05-11,3526,417,2024-05-11 22:45:00,2024-05-12 05:42:00,61.3,40.8,18,63,78,196,60,15.3,18.9,47.0,18.8,79,71.0,51,54.7,13,2,1
2024-05-12,3359,409,2024-05-12 23:08:00,2024-05-13 05:57:00,59.0,40.7,21,62,101,259,5,15.4,24.8,63.5,-3.6,79,85.0,70,114.5,6,3,1
2024-05-13,10043,379,2024-05-13 22:02:00,2024-05-14 04:21:00,61.6,44.1,69,63,86,231,5,16.8,22.7,61.0,-0.5,83,82.0,52,67.4,34,23,11
2024-05-14,9593,394,2024-05-14 23:20:00,2024-05-15 05:54:00,67.5,52.6,51,52,93,226,22,13.3,23.7,57.4,5.6,65,82.0,68,29.1,33,12,7
2024-05-15,9500,453,2024-05-15 00:25:00,2024-05-15 07:58:00,64.9,52.0,59,75,124,247,5,16.7,27.5,54.7,1.1,66,73.0,64,16.4,34,20,11
